 tKUETv_tot
   0.0000000000000000        1874.9999999999991       -506.99200365077547        1368.0079963492235        9.9999999999999947       -7.5495165674510645E-015   2.2204460492503131E-014  -2.6645352591003757E-015
   1.0000000000000000E-004   1874.9994375846636       -506.99144122448638        1368.0079963601772        9.9999970004515397       -1.5543122344752192E-014   1.2434497875801753E-014  -1.1546319456101628E-014
   2.0000000000000001E-004   1874.9977503539335       -506.98975399970215        1368.0079963542314        9.9999880018876457       -9.7699626167013776E-015   1.5987211554602254E-014  -3.1086244689504383E-015
   3.0000000000000003E-004   1874.9949382372401       -506.98694190584268        1368.0079963313974        9.9999730039319470       -7.1054273576010019E-015   1.3322676295501878E-014  -3.1086244689504383E-015
   4.0000000000000002E-004   1874.9910009618195       -506.98300467013979        1368.0079962916798        9.9999520051297033       -6.6613381477509392E-015  -6.2172489379008766E-015   3.1086244689504383E-015
   5.0000000000000001E-004   1874.9859380528158       -506.97794181773185        1368.0079962350840        9.9999250029483502       -4.8849813083506888E-015   7.9936057773011271E-015   3.5527136788005009E-015
   6.0000000000000006E-004   1874.9797488333393       -506.97175267172332        1368.0079961616159        9.9998919937778101        4.8849813083506888E-015   9.7699626167013776E-015   4.8849813083506888E-015
   7.0000000000000010E-004   1874.9724324245303       -506.96443635325522        1368.0079960712751        9.9998529729308281       -8.8817841970012523E-016  -3.5527136788005009E-015   2.6645352591003757E-015
   8.0000000000000015E-004   1874.9639877455686       -506.95599178150462        1368.0079959640639        9.9998079346430320       -6.6613381477509392E-015  -8.8817841970012523E-016   1.3322676295501878E-015
   9.0000000000000019E-004   1874.9544135136846       -506.94641767370814        1368.0079958399765        9.9997568720729841       -1.1546319456101628E-014  -2.6645352591003757E-015   6.2172489379008766E-015
   1.0000000000000002E-003   1874.9437082441298       -506.93571254511687        1368.0079956990130        9.9996997773020251       -3.9968028886505635E-015   7.1054273576010019E-015   3.9968028886505635E-015
   1.1000000000000003E-003   1874.9318702501339       -506.92387470896762        1368.0079955411663        9.9996366413340478       -1.3322676295501878E-014   7.1054273576010019E-015  -2.6645352591003757E-015
   1.2000000000000003E-003   1874.9188976428361       -506.91090227641126        1368.0079953664249        9.9995674540951267       -3.1086244689504383E-015   1.2434497875801753E-014   5.3290705182007514E-015
   1.3000000000000004E-003   1874.9047883311935       -506.89679315641342        1368.0079951747800        9.9994922044330323       -1.7763568394002505E-014  -2.6645352591003757E-015   6.2172489379008766E-015
   1.4000000000000004E-003   1874.8895400218601       -506.88154505564046        1368.0079949662195        9.9994108801165869        6.6613381477509392E-015   2.6645352591003757E-015   1.7763568394002505E-015
   1.5000000000000005E-003   1874.8731502190556       -506.86515547832107        1368.0079947407344        9.9993234678349623       -1.7319479184152442E-014   1.0658141036401503E-014   6.6613381477509392E-015
   1.6000000000000005E-003   1874.8556162243915       -506.84762172609152        1368.0079944982999        9.9992299531967550       -1.1102230246251565E-014   3.5527136788005009E-015   1.4654943925052066E-014
   1.7000000000000006E-003   1874.8369351367019       -506.82894089779637        1368.0079942389054        9.9991303207290763        1.3322676295501878E-015   8.8817841970012523E-015   1.1990408665951691E-014
   1.8000000000000006E-003   1858.3410843684856       -506.80910988929276        1351.5319744791927        9.9111524499652557       -1.0658141036401503E-014   7.6663176438936338        7.5495165674510645E-015
   1.9000000000000006E-003   1858.3203133759109       -506.78833919059571        1351.5319741853152        9.9110416713381913        2.6645352591003757E-015   7.6663176438936365       -1.3322676295501878E-015
   2.0000000000000005E-003   1858.2984009458071       -506.76642707109357        1351.5319738747135        9.9109248050443046       -1.7763568394002505E-015   7.6663176438936400        4.8849813083506888E-015
   2.1000000000000003E-003   1858.2753433611679       -506.74336981381180        1351.5319735473561        9.9108018312595618        1.3322676295501878E-015   7.6663176438936382        4.8849813083506888E-015
   2.2000000000000001E-003   1858.2511367045063       -506.71916350130124        1351.5319732032051        9.9106727290907006        0.0000000000000000        7.6663176438936587       -1.3322676295501878E-015
   2.3000000000000000E-003   1858.2257768574971       -506.69380401525871        1351.5319728422382        9.9105374765733174       -9.7699626167013776E-015   7.6663176438936382        3.5527136788005009E-015
   2.3999999999999998E-003   1858.1992595005813       -506.66728703616673        1351.5319724644146        9.9103960506697675       -8.4376949871511897E-015   7.6663176438936507        6.2172489379008766E-015
   2.4999999999999996E-003   1858.1715801125613       -506.63960804286438        1351.5319720696968        9.9102484272669944       -9.3258734068513149E-015   7.6663176438936445        1.5543122344752192E-014
   2.5999999999999994E-003   1858.1427339701756       -506.61076231212968        1351.5319716580459        9.9100945811742704       -1.1102230246251565E-014   7.6663176438936427        1.1102230246251565E-014
   2.6999999999999993E-003   1858.1127161476381       -506.58074491821321        1351.5319712294249        9.9099344861207364        6.6613381477509392E-015   7.6663176438936329        1.4654943925052066E-014
   2.7999999999999991E-003   1858.0815215161631       -506.54955073237852        1351.5319707837846        9.9097681147528700       -3.5527136788005009E-015   7.6663176438936436        1.1102230246251565E-014
   2.8999999999999989E-003   1858.0491447434717       -506.51717442238504        1351.5319703210866        9.9095954386318486       -1.1102230246251565E-014   7.6663176438936427        3.9968028886505635E-015
   2.9999999999999988E-003   1858.0155802932586       -506.48361045197890        1351.5319698412798        9.9094164282307133       -1.1102230246251565E-014   7.6663176438936294        2.0428103653102880E-014
   3.0999999999999986E-003   1857.9808224246588       -506.44885308034191        1351.5319693443168        9.9092310529315135       -1.6431300764452317E-014   7.6663176438936302        2.7089441800853820E-014
